id,province,party,title,firstName,lastName,sex,age,occupation,highestEducation,vote,votePercent,rank
170110,17,61,ร้อยโท,วัฒนชัย,  เกตุเพ็ชร,M,64,รับราชการทหาร,ต่ำกว่าปริญญาตรี,182,0.13913,10
640101,64,29,นาง,พรรณสิริ,  กุลนาถศิริ,F,64,สมาชิกสภาผู้แทนราษฎรจังหวัดสุโขทัยเขต 1,ปริญญาเอก,32130,36.03715,1
640102,64,21,นางสาว,เสาวนีย์,  ศุภกมลเสนีย์,F,47,แม่บ้าน,ปริญญาโท,910,1.02066,5
640103,64,22,นาย,วิรัตน์,  วิริยะพงษ์,M,63,ทนายความ,ปริญญาโท,19230,21.56845,3
640104,64,37,นางสาว,เบญจมาศ,  ไก่แก้ว,F,41,ครูโรงเรียนเอกชน,ปริญญาตรี,290,0.32527,9
640105,64,7,นาย,ธนพล,  นิลทการ,M,25,ไม่ระบุ,ปริญญาตรี,310,0.3477,8
640106,64,25,นางสาว,ทัศนา,  บัวคำ,F,57,ไม่ระบุ,ปริญญาตรี,492,0.55183,7
640107,64,31,นางสาว,นาตยา,  กรุณามิตร,F,35,พนักงานบริษัทเอกชน,ปริญญาตรี,26117,29.29294,2
640108,64,32,พันตำรวจโท,มงกุฎ,  รักบุญประเสริฐ,M,73,รองนายกฯ อบต.หนองตูม,ปริญญาตรี,263,0.29498,10
640109,64,26,นางสาว,ประภาภรณ์,  เชยวัดเกาะ,F,44,นักธุรกิจ,ปริญญาโท,1732,1.94262,4
640110,64,5,นาย,สุพร,  สุกิจธรรมภาณ,M,53,ค้าขาย,ปริญญาตรี,243,0.27255,11
640111,64,61,จ่าสิบเอก,ทัดเทียม,  เพ็ชรศรี,M,61,รับราชการ,ต่ำกว่าปริญญาตรี,656,0.73577,6
640201,64,37,นาย,วิโรจน์,  มากมูล,M,48,เกษตรกร,ปริญญาตรี,511,0.60564,7
640202,64,26,นาย,สัมพันธ์,  ตั้งเบญจผล,M,64,"นักการเมือง,ธุรกิจส่วนตัว",ปริญญาโท,17924,21.24376,3
